Doc	Demand_Value	Defense_Lawyer	Plaintiff's_Attorney	Judge	Decision_Value	Evidentiary_Count	Difference	Percentage
0100205-93.2019.5.01.0074.pdf	9622.66	RJ83276	RJ214809	LVARO ANT BORGES FARIA ALVARO ANTONIO	6000.0	11	-3622.66	0.6235282136124523
0100225-08.2019.5.01.0067.pdf	4665.98	RJ83276	RJ71617	GABRIELA CANELLAS CAVALCANTI	6126.11	30	1460.13	1.3129310455681336
0100364-53.2019.5.01.0521.pdf	6172.26	Not identified	Other	RODRIGO DIAS PEREIRA	0.0	5	-6172.26	0.0
0100131-11.2019.5.01.0051.pdf	9219.0	RJ83276	RJ162912	ALESSANDRA JAPPONE ROCHA MAGALHAES	6500.0	14	-2719.0	0.7050656253389739
0100224-93.2019.5.01.0076.pdf	20592.03	RJ83276	RJ134010	PATRICIA SILVA LIMA	6500.0	19	-14092.029999999999	0.31565610578461667
0010231-68.2013.5.01.0005.pdf	8879.6	RJ83276	Other	MARCO ANTONIO MATTOS LEMOS	7000.0	7	-1879.6000000000004	0.7883237983692959
0100338-59.2019.5.01.0067.pdf	10400.0	RJ83276	Other	FELIPE ROLLEMBERG LOPES LEMOS SILVA	7000.0	9	-3400.0	0.6730769230769231
0101240-48.2018.5.01.0034.pdf	39000.0	RJ83276	Other	DANUSA BERTA MALFATTI	7000.0	8	-32000.0	0.1794871794871795
0100116-66.2019.5.01.0043.pdf	17112.97	RJ83276	RJ165814	EDUARDO HENRIQUE ELGARTEN ROCHA	8665.1	15	-8447.87	0.5063469403616088
0100066-09.2019.5.01.0021.pdf	7944.49	Not identified	Other	PAULO ROG DOS SANTOS ELENA APARECIDA FERREIRA LUCIA FERNANDES LUZ BARBOSA ROGERIO	0.0	7	-7944.49	0.0
0100075-32.2019.5.01.0033.pdf	14246.05	RJ83276	Other	TALLITA MASSUCCI TOLEDO FORESTI	8000.0	13	-6246.049999999999	0.5615591690328197
0100413-55.2019.5.01.0049.pdf	14924.94	RJ83276	Other	GISELLE BRINGEL OLIVEIRA LIMA DAVID	8000.0	15	-6924.9400000000005	0.5360155551714111
0101302-07.2018.5.01.0061.pdf	8846.79	RJ83276	Other	CLEA MARIA CARVALHO COUTO	8714.49	17	-132.3000000000011	0.9850454232552145
0010936-66.2013.5.01.0005.pdf	40000.0	RJ83276	Other	MONICA ALMEIDA RODRIGUES	9461.45	8	-30538.55	0.23653625000000003
0100121-72.2019.5.01.0501.pdf	21795.12	RJ83276	Other	FELIPE BERNARDES RODRIGUES	9751.0	14	-12044.119999999999	0.4473937285043625
0100292-84.2019.5.01.0030.pdf	11486.43	RJ83276	Other	ANDRESSA CAMPANA TEDESCO VALENTIM	10000.0	10	-1486.4300000000003	0.8705925165608461
0101346-58.2018.5.01.0018.pdf	14324.07	RJ83276	Other	MARCOS DIAS CASTRO	10000.0	12	-4324.07	0.6981256025696607
0100346-40.2019.5.01.0001.pdf	18218.86	RJ83276	RJ165814	ADRIANA MALHEIRO ROCHA LIMA	10000.0	16	-8218.86	0.5488817631838655
0100034-39.2019.5.01.0074.pdf	20000.0	RJ83276	RJ154566	ALVARO ANTONIO BORGES FARIA	10000.0	10	-10000.0	0.5
0100060-70.2019.5.01.0063.pdf	30050.0	RJ83276	Other	MARIA THEREZA COSTA PRATA	10000.0	12	-20050.0	0.33277870216306155
0100123-86.2019.5.01.0066.pdf	58000.0	RJ83276	Other	RONALDO SANTOS RESENDE	10000.0	19	-48000.0	0.1724137931034483
0100175-31.2019.5.01.0471.pdf	22383.0	RJ83276	RJ80333	ALINE SOUZA TINOCO GOMES MELO	11418.88	13	-10964.12	0.5101586025108341
0010071-43.2013.5.01.0005.pdf	30000.0	Not identified	Other	MONICA ALMEIDA RODRIGUES	10694.72	12	-19305.28	0.3564906666666666
0100109-51.2019.5.01.0471.pdf	14834.0	RJ83276	RJ80333	ALINE SOUZA TINOCO GOMES MELO	11688.35	15	-3145.6499999999996	0.7879432385061346
0100121-68.2019.5.01.0082.pdf	11670.59	RJ83276	RJ214809	JOSE MATEUS ALEXANDRE ROMANO	5448.2	11	-6222.39	0.46683158263635344
0010548-67.2013.5.01.0037.pdf	50000.0	Not identified	RJ100775	REGINA LEAL CAMPOS	10958.79	11	-39041.21	0.2191758
0100085-07.2019.5.01.0056.pdf	7944.5	RJ83276	Other	ROSANE RIBEIRO CATRIB	11012.18	15	3067.6800000000003	1.3861388381899427
0010859-60.2013.5.01.0004.pdf	37900.0	Not identified	Other	ROSEANA MENDES MARQUES	11409.28	5	-26490.72	0.3010364116094987
0010687-18.2013.5.01.0005.pdf	23751.74	RJ207821	Other	MONICA ALMEIDA RODRIGUES	11979.77	6	-11771.970000000001	0.5043744163585488
0101096-19.2018.5.01.0020.pdf	35186.26	RJ83276	Other	ALINE MARIA LEPORACI LOPES	11990.47	16	-23195.79	0.3407713692788037
0100061-40.2019.5.01.0068.pdf	18209.46	RJ83276	Other	HELEN MARQUES PEIXOTO	12000.0	16	-6209.459999999999	0.658998125150334
0010696-45.2013.5.01.0242.pdf	29000.0	RJ188169	Other	MARIA BERNADETE MIRANDA BARBOSA SILVA	12000.0	5	-17000.0	0.41379310344827586
0100259-84.2019.5.01.0001.pdf	16146.12	RJ83276	RJ165814	ADRIANA MALHEIRO ROCHA LIMA	13256.11	11	-2890.01	0.8210090102142187
0100506-43.2019.5.01.0073.pdf	12512.31	Not identified	Other	EPILOGO PINTO MEDEIROS BAPTISTA	0.0	4	-12512.31	0.0
0100352-25.2019.5.01.0073.pdf	12520.29	Not identified	Other	EPILOGO PINTO MEDEIROS BAPTISTA	0.0	2	-12520.29	0.0
0101696-22.2017.5.01.0005.pdf	38000.0	RJ105681	Other	MONICA ALMEIDA RODRIGUES	12670.78	10	-25329.22	0.3334415789473684
0100262-09.2019.5.01.0011.pdf	17207.68	RJ83276	RJ165814	FLAVIA NOBREGA COZZOLINO	15000.0	16	-2207.6800000000003	0.8717037973741957
0100308-50.2019.5.01.0026.pdf	18479.11	RJ83276	RJ151426	ANA TERESINHA FRANCA ALMEIDA SILVA MARTINS	15000.0	9	-3479.1100000000006	0.811727404620677
0100240-56.2019.5.01.0073.pdf	21828.18	RJ83276	RJ134010	GISELLE BRINGEL OLIVEIRA LIMA DAVID	15000.0	18	-6828.18	0.687185097429103
0100353-54.2019.5.01.0026.pdf	23950.0	RJ83276	RJ154566	ANA TERESINHA FRANCA ALMEIDA SILVA MARTINS	15000.0	12	-8950.0	0.6263048016701461
0100014-17.2019.5.01.0052.pdf	40000.0	RJ83276	RJ162143	NAJLA RODRIGUES ABBUDE	15000.0	22	-25000.0	0.375
0100123-64.2019.5.01.0041.pdf	16471.0	RJ83276	RJ162912	FABIO RODRIGUES GOMES	16471.0	15	0.0	1.0
0100136-46.2019.5.01.0079 (1).pdf	23563.16	RJ83276	RJ165814	LUCIANO MORAES SILVA	17000.0	16	-6563.16	0.7214652024601115
0100168-42.2019.5.01.0082.pdf	17676.16	Not identified	Other	JOSE MATEUS ALEXANDRE ROMANO	0.0	2	-17676.16	0.0
0100330-94.2019.5.01.0063.pdf	18470.0	Not identified	Other	MARIA THEREZA COSTA PRATA	0.0	3	-18470.0	0.0
0100255-47.2019.5.01.0001.pdf	14291.28	RJ83276	Other	ADRIANA MALHEIRO ROCHA LIMA	20000.0	12	5708.719999999999	1.3994547724206647
0100251-10.2019.5.01.0001.pdf	14500.32	RJ83276	RJ165814	ADRIANA MALHEIRO ROCHA LIMA IPCA	20000.0	9	5499.68	1.379279905546912
0100308-28.2019.5.01.0001.pdf	18042.1	RJ83276	RJ196986	ADRIANA MALHEIRO ROCHA LIMA	20000.0	17	1957.9000000000015	1.1085184097194896
0100335-61.2019.5.01.0049.pdf	25355.76	RJ83276	RJ165814	RAQUEL OLIVEIRA MACIEL	22575.45	14	-2780.3099999999977	0.8903479919355602
0010059-32.2013.5.01.0004.pdf	28000.0	RJ83276	Other	Not identified	20000.0	7	-8000.0	0.7142857142857143
0100367-66.2019.5.01.0049.pdf	19852.44	RJ83276	Other	RAQUEL OLIVEIRA MACIEL ISTO POSTO	22523.75	17	2671.3100000000013	1.134558270922869
0100242-26.2019.5.01.0073.pdf	23651.9	Not identified	Other	EPILOGO PINTO MEDEIROS BAPTISTA	0.0	4	-23651.9	0.0
0100189-56.2019.5.01.0522.pdf	23763.18	Not identified	Other	LUIZ NELCY PIRES SOUZA JOSE CARLOS REINOSO RESENDE	0.0	5	-23763.18	0.0
0100253-77.2019.5.01.0001.pdf	25195.12	RJ83276	Other	ADRIANA MALHEIRO ROCHA LIMA	25000.0	10	-195.11999999999898	0.9922556431562938
0100343-44.2017.5.01.0005.pdf	40000.0	RJ83276	Other	MONICA ALMEIDA RODRIGUES	25000.0	3	-15000.0	0.625
0100313-94.2019.5.01.0051.pdf	29155.1	RJ83276	RJ196986	PEDRO FIGUEIREDO WAIB	30000.0	16	844.9000000000015	1.0289794924387157
0102669-34.2017.5.01.0471.pdf	66677.4		RJ122895	LUANA LOBOSCO FOLLY PIRAZZO	32049.32	6	-34628.079999999994	0.48066241335145043
0100530-79.2019.5.01.0038.pdf	40000.0	Not identified	Other	PAULA CRISTINA NETTO GON ALVES GUERRA GAMA GONCALVES	0.0	2	-40000.0	0.0
0102668-49.2017.5.01.0471.pdf	68937.99		RJ122895	LUANA LOBOSCO FOLLY PIRAZZO	40128.75	5	-28809.240000000005	0.5820992169919662
0103193-31.2017.5.01.0471.pdf	68937.99		RJ122895	ALINE SOUZA TINOCO GOMES MELO	44231.19	6	-24706.800000000003	0.6416083497647669
0100324-54.2019.5.01.0074.pdf	44892.79	RJ83276	Other	ALVARO ANTONIO BORGES FARIA	20000.0	20	-24892.79	0.44550583735161037
0103104-08.2017.5.01.0471.pdf	68937.99		RJ122895	ALINE SOUZA TINOCO GOMES MELO	48313.29	4	-20624.700000000004	0.7008224347707265
0010529-60.2013.5.01.0005.pdf	50000.0	RJ83276	RJ100775	MARCO ANTONIO MATTOS LEMOS	50000.0	9	0.0	1.0
0101546-41.2017.5.01.0005.pdf	40000.0	RJ83276	Other	MONICA ALMEIDA RODRIGUES	63961.39	4	23961.39	1.59903475
