All Cases,0100264-67.2019.5.01.0014.pdf,0100112-05.2019.5.01.0051.pdf,0010058-90.2013.5.01.0022.pdf,0100214-84.2019.5.01.0226.pdf,0100204-91.2019.5.01.0015.pdf,0100347-97.2019.5.01.0074.pdf,0100348-82.2019.5.01.0074.pdf,0100418-82.2019.5.01.0015.pdf,0100383-18.2019.5.01.0082.pdf,0100201-30.2019.5.01.0018.pdf,0100518-40.2019.5.01.0014.pdf,0100089-65.2016.5.01.0471.pdf,0101344-41.2018.5.01.0066.pdf,0100115-41.2019.5.01.0024.pdf,0100236-30.2019.5.01.0037.pdf,0101335-79.2018.5.01.0066.pdf,0100378-20.2019.5.01.0074.pdf,0100013-59.2019.5.01.0043.pdf,0010075-75.2013.5.01.0039(1).pdf,0100250-17.2019.5.01.0521.pdf,0011328-06.2013.5.01.0005.pdf,0100064-73.2019.5.01.0042.pdf,0100124-23.2019.5.01.0082.pdf,0100205-93.2019.5.01.0074.pdf,0100225-08.2019.5.01.0067.pdf,0100364-53.2019.5.01.0521.pdf,0100131-11.2019.5.01.0051.pdf,0100224-93.2019.5.01.0076.pdf,0010231-68.2013.5.01.0005.pdf,0100338-59.2019.5.01.0067.pdf,0101240-48.2018.5.01.0034.pdf,0100116-66.2019.5.01.0043.pdf,0100066-09.2019.5.01.0021.pdf,0100075-32.2019.5.01.0033.pdf,0100413-55.2019.5.01.0049.pdf,0101302-07.2018.5.01.0061.pdf,0010936-66.2013.5.01.0005.pdf,0100121-72.2019.5.01.0501.pdf,0100292-84.2019.5.01.0030.pdf,0101346-58.2018.5.01.0018.pdf,0100346-40.2019.5.01.0001.pdf,0100034-39.2019.5.01.0074.pdf,0100060-70.2019.5.01.0063.pdf,0100123-86.2019.5.01.0066.pdf,0100175-31.2019.5.01.0471.pdf,0010071-43.2013.5.01.0005.pdf,0100109-51.2019.5.01.0471.pdf,0100121-68.2019.5.01.0082.pdf,0010548-67.2013.5.01.0037.pdf,0100085-07.2019.5.01.0056.pdf,0010859-60.2013.5.01.0004.pdf,0010687-18.2013.5.01.0005.pdf,0101096-19.2018.5.01.0020.pdf,0100061-40.2019.5.01.0068.pdf,0010696-45.2013.5.01.0242.pdf,0100259-84.2019.5.01.0001.pdf,0100506-43.2019.5.01.0073.pdf,0100352-25.2019.5.01.0073.pdf,0101696-22.2017.5.01.0005.pdf,0100262-09.2019.5.01.0011.pdf,0100308-50.2019.5.01.0026.pdf,0100240-56.2019.5.01.0073.pdf,0100353-54.2019.5.01.0026.pdf,0100014-17.2019.5.01.0052.pdf,0100123-64.2019.5.01.0041.pdf,0100136-46.2019.5.01.0079 (1).pdf,0100168-42.2019.5.01.0082.pdf,0100330-94.2019.5.01.0063.pdf,0100255-47.2019.5.01.0001.pdf,0100251-10.2019.5.01.0001.pdf,0100308-28.2019.5.01.0001.pdf,0100335-61.2019.5.01.0049.pdf,0010059-32.2013.5.01.0004.pdf,0100367-66.2019.5.01.0049.pdf,0100242-26.2019.5.01.0073.pdf,0100189-56.2019.5.01.0522.pdf,0100253-77.2019.5.01.0001.pdf,0100343-44.2017.5.01.0005.pdf,0100313-94.2019.5.01.0051.pdf,0102669-34.2017.5.01.0471.pdf,0100530-79.2019.5.01.0038.pdf,0102668-49.2017.5.01.0471.pdf,0103193-31.2017.5.01.0471.pdf,0100324-54.2019.5.01.0074.pdf,0103104-08.2017.5.01.0471.pdf,0010529-60.2013.5.01.0005.pdf,0101546-41.2017.5.01.0005.pdf
0100340-82.2019.5.01.0017(1).pdf,0.384615385,0.769230769,0.538461538,0.615384615,0.153846154,0.769230769,0.769230769,0.230769231,0.384615385,0.846153846,0.307692308,0.769230769,0.769230769,0.384615385,0.769230769,0.846153846,0.846153846,0.846153846,0.923076923,0.461538462,0.769230769,0.307692308,0.692307692,0.846153846,0.769230769,0.384615385,0.692307692,0.846153846,0.923076923,0.384615385,0.692307692,0.769230769,0.384615385,0.692307692,0.692307692,0.692307692,0.923076923,0.692307692,0.692307692,0.846153846,0.769230769,0.846153846,0.769230769,0.692307692,0.769230769,0.923076923,0.769230769,0.769230769,0.923076923,0.769230769,0.615384615,1,0.692307692,0.846153846,0.846153846,0.769230769,0.384615385,0.461538462,0.769230769,0.692307692,0.692307692,0.923076923,0.692307692,0.769230769,0.846153846,0.923076923,0.307692308,0.230769231,0.846153846,0.692307692,0.692307692,0.769230769,0.846153846,0.692307692,0.230769231,0.769230769,0.692307692,0.769230769,0.846153846,0.846153846,0.461538462,0.538461538,0.846153846,0.846153846,0.923076923,1,1
0100463-30.2019.5.01.0066.pdf,0.692307692,0.769230769,0.615384615,0.615384615,0.230769231,0.769230769,0.461538462,0.384615385,0.692307692,0.769230769,0.615384615,0.615384615,0.769230769,0.769230769,0.846153846,0.769230769,0.769230769,0.923076923,0.615384615,0.692307692,0.615384615,0.538461538,0.846153846,0.923076923,0.923076923,0.846153846,0.846153846,0.923076923,0.615384615,0.615384615,0.692307692,0.846153846,0.769230769,0.846153846,0.769230769,0.846153846,0.615384615,0.769230769,0.692307692,0.769230769,0.769230769,0.846153846,0.692307692,0.846153846,0.769230769,0.615384615,0.846153846,0.769230769,0.615384615,0.923076923,0.615384615,0.615384615,0.846153846,0.846153846,0.615384615,0.769230769,0.692307692,0.230769231,0.615384615,0.769230769,0.692307692,0.846153846,0.615384615,0.846153846,0.769230769,0.846153846,0.384615385,0.384615385,0.692307692,0.692307692,0.692307692,0.769230769,0.615384615,0.769230769,0.384615385,0.769230769,0.615384615,0.615384615,0.769230769,0.615384615,0.615384615,0.615384615,0.615384615,0.846153846,0.615384615,0.615384615,0.692307692
0001081-65.2013.5.01.0263.pdf,0.1875,0.78125,0.5625,0.625,0.0625,0.6875,0.59375,0.0625,0.1875,0.90625,0.1875,0.90625,0.6875,0.1875,0.9375,0.5625,0.78125,0.9375,0.9375,0.53125,0.90625,0.1875,0.5625,0.78125,0.8125,0.4375,0.5625,0.78125,0.90625,0.3125,0.6875,0.71875,0.3125,0.6875,0.8125,0.84375,0.90625,0.71875,0.6875,0.84375,0.5625,0.90625,0.8125,0.6875,0.84375,0.90625,0.84375,0.6875,0.90625,0.90625,0.5625,0.90625,0.71875,0.5625,0.90625,0.90625,0.1875,0.5,0.78125,0.6875,0.6875,0.6875,0.6875,0.6875,0.65625,0.90625,0.0625,0.1875,0.6875,0.6875,0.8125,0.84375,0.90625,0.84375,0.0625,0.90625,0.8125,0.90625,0.78125,0.9375,0.3125,0.5625,0.90625,0.90625,0.9375,0.78125,0.9375
0100019-87.2019.5.01.0521.pdf,0.4375,0.46875,0.5,0.375,0.125,0.71875,0.4375,0.25,0.625,0.65625,0.40625,0.46875,0.84375,0.625,0.65625,0.6875,0.625,0.875,0.53125,0.5,0.5625,0.375,0.65625,0.75,0.6875,0.5625,0.65625,0.65625,0.59375,0.5,0.53125,0.78125,0.5,0.59375,0.65625,0.75,0.5625,0.65625,0.59375,0.65625,0.625,0.6875,0.65625,0.65625,0.6875,0.53125,0.71875,0.75,0.625,0.75,0.46875,0.5,0.9375,0.6875,0.5625,0.625,0.4375,0.15625,0.4375,0.71875,0.59375,0.71875,0.5625,0.9375,0.5625,0.78125,0.21875,0.1875,0.65625,0.625,0.6875,0.71875,0.5,0.6875,0.1875,0.625,0.59375,0.53125,0.5625,0.53125,0.40625,0.5,0.59375,0.875,0.53125,0.46875,0.65625
0100028-46.2019.5.01.0522.pdf,0.444444444,0.5,0.555555556,0.388888889,0.138888889,0.666666667,0.444444444,0.222222222,0.638888889,0.722222222,0.416666667,0.555555556,0.777777778,0.583333333,0.694444444,0.638888889,0.666666667,0.888888889,0.611111111,0.527777778,0.638888889,0.416666667,0.638888889,0.777777778,0.75,0.583333333,0.611111111,0.666666667,0.666666667,0.472222222,0.555555556,0.722222222,0.472222222,0.611111111,0.638888889,0.694444444,0.611111111,0.638888889,0.611111111,0.694444444,0.611111111,0.722222222,0.638888889,0.638888889,0.638888889,0.611111111,0.694444444,0.722222222,0.638888889,0.75,0.555555556,0.583333333,0.861111111,0.638888889,0.611111111,0.666666667,0.444444444,0.138888889,0.5,0.666666667,0.611111111,0.666666667,0.527777778,0.861111111,0.638888889,0.777777778,0.25,0.222222222,0.638888889,0.611111111,0.638888889,0.666666667,0.527777778,0.694444444,0.222222222,0.638888889,0.583333333,0.611111111,0.611111111,0.583333333,0.416666667,0.555555556,0.638888889,0.888888889,0.583333333,0.5,0.694444444
0100341-84.2019.5.01.0561.pdf,0.642857143,0.785714286,0.642857143,0.714285714,0.285714286,0.928571429,0.571428571,0.571428571,0.714285714,0.857142857,0.714285714,0.642857143,1,0.785714286,0.928571429,0.928571429,0.785714286,0.928571429,0.642857143,0.642857143,0.642857143,0.642857143,0.857142857,0.928571429,0.857142857,0.642857143,0.928571429,0.857142857,0.642857143,0.714285714,0.785714286,0.928571429,0.785714286,0.785714286,0.928571429,0.928571429,0.714285714,0.928571429,0.857142857,0.857142857,0.857142857,0.928571429,0.857142857,0.857142857,0.857142857,0.642857143,0.928571429,0.785714286,0.714285714,1,0.571428571,0.642857143,1,0.928571429,0.714285714,0.928571429,0.785714286,0.357142857,0.571428571,0.928571429,0.857142857,0.857142857,0.857142857,0.928571429,0.857142857,0.928571429,0.285714286,0.285714286,0.928571429,0.928571429,1,0.928571429,0.714285714,0.928571429,0.428571429,1,0.928571429,0.642857143,0.857142857,0.714285714,0.642857143,0.642857143,0.714285714,0.928571429,0.714285714,0.642857143,0.714285714
0101549-05.2017.5.01.0002.pdf,0.888888889,0.666666667,0.666666667,0.777777778,0.333333333,1,0.666666667,0.555555556,0.777777778,0.777777778,0.777777778,0.666666667,1,0.888888889,1,0.888888889,0.666666667,1,0.666666667,0.555555556,0.666666667,0.555555556,1,1,0.888888889,0.777777778,1,1,0.666666667,0.666666667,0.777777778,1,0.888888889,0.888888889,1,1,0.777777778,0.888888889,0.888888889,0.888888889,1,1,0.777777778,1,0.888888889,0.666666667,1,0.888888889,0.777777778,1,0.555555556,0.666666667,1,1,0.777777778,1,0.777777778,0.555555556,0.666666667,1,0.888888889,1,0.888888889,1,1,0.888888889,0.555555556,0.555555556,0.888888889,0.888888889,0.888888889,1,0.777777778,1,0.444444444,0.888888889,0.888888889,0.666666667,0.888888889,0.777777778,0.555555556,0.666666667,0.777777778,1,0.777777778,0.777777778,0.777777778
0100398-36.2019.5.01.0001.pdf,0.5,0.642857143,0.428571429,0.642857143,0.285714286,0.928571429,0.785714286,0.5,0.571428571,0.857142857,0.428571429,0.5,0.928571429,0.642857143,0.785714286,0.857142857,0.714285714,0.857142857,0.642857143,0.357142857,0.571428571,0.428571429,0.857142857,0.928571429,0.785714286,0.571428571,0.857142857,1,0.642857143,0.5,0.714285714,1,0.714285714,0.857142857,0.785714286,0.928571429,0.5,0.714285714,0.714285714,0.785714286,0.857142857,0.857142857,0.857142857,0.857142857,0.785714286,0.642857143,0.857142857,0.785714286,0.642857143,0.785714286,0.428571429,0.571428571,0.857142857,0.928571429,0.642857143,0.714285714,0.571428571,0.428571429,0.5,0.857142857,0.714285714,1,0.714285714,1,0.714285714,0.928571429,0.5,0.428571429,0.785714286,0.714285714,0.714285714,0.928571429,0.5,0.785714286,0.5,0.785714286,0.642857143,0.5,0.785714286,0.571428571,0.571428571,0.428571429,0.571428571,0.857142857,0.571428571,0.642857143,0.714285714
0100181-98.2019.5.01.0451.pdf,0.6,0.733333333,0.533333333,0.6,0.2,0.933333333,0.466666667,0.533333333,0.6,0.866666667,0.6,0.533333333,0.866666667,0.8,0.8,0.866666667,0.666666667,0.8,0.533333333,0.533333333,0.533333333,0.533333333,0.8,0.8,0.733333333,0.6,0.866666667,0.933333333,0.533333333,0.6,0.666666667,0.933333333,0.866666667,0.733333333,0.8,0.933333333,0.6,0.8,0.666666667,0.666666667,0.8,0.8,0.866666667,0.8,0.733333333,0.533333333,0.8,0.733333333,0.6,0.866666667,0.466666667,0.533333333,0.866666667,0.866666667,0.6,0.733333333,0.733333333,0.333333333,0.533333333,0.933333333,0.666666667,0.933333333,0.866666667,0.933333333,0.733333333,0.933333333,0.266666667,0.266666667,0.8,0.8,0.866666667,0.933333333,0.6,0.8,0.4,0.866666667,0.733333333,0.533333333,0.8,0.6,0.6,0.533333333,0.6,0.8,0.6,0.6,0.666666667
0100046-70.2019.5.01.0521.pdf,0.818181818,0.818181818,0.818181818,0.727272727,0.181818182,0.909090909,0.454545455,0.363636364,0.818181818,0.909090909,0.727272727,0.727272727,0.909090909,0.818181818,0.818181818,1,0.818181818,1,0.818181818,0.818181818,0.727272727,0.727272727,0.909090909,1,0.909090909,0.909090909,0.909090909,1,0.818181818,0.818181818,0.909090909,1,0.818181818,0.909090909,0.818181818,0.909090909,0.727272727,0.909090909,0.818181818,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,0.818181818,1,1,0.818181818,0.909090909,0.818181818,0.818181818,0.909090909,1,0.818181818,0.818181818,0.818181818,0.272727273,0.727272727,0.818181818,0.818181818,1,0.818181818,1,0.818181818,1,0.454545455,0.363636364,0.909090909,0.818181818,0.818181818,0.909090909,0.727272727,0.818181818,0.363636364,0.818181818,0.818181818,0.727272727,0.909090909,0.818181818,0.818181818,0.818181818,0.818181818,0.909090909,0.818181818,0.818181818,0.818181818
0100183-33.2019.5.01.0010.pdf,0.583333333,0.75,0.416666667,0.75,0.333333333,1,0.833333333,0.583333333,0.583333333,0.833333333,0.583333333,0.583333333,1,0.666666667,1,0.916666667,0.75,1,0.583333333,0.333333333,0.583333333,0.416666667,1,1,0.916666667,0.583333333,1,1,0.583333333,0.5,0.75,1,0.75,0.916666667,1,1,0.666666667,0.916666667,0.833333333,0.833333333,1,1,0.833333333,1,0.916666667,0.583333333,1,0.833333333,0.666666667,1,0.333333333,0.583333333,1,1,0.666666667,0.916666667,0.666666667,0.583333333,0.583333333,1,0.833333333,1,0.833333333,1,0.916666667,0.916666667,0.416666667,0.416666667,0.916666667,0.916666667,0.916666667,1,0.666666667,1,0.5,0.916666667,0.833333333,0.583333333,0.916666667,0.666666667,0.5,0.416666667,0.666666667,1,0.666666667,0.666666667,0.75
